date	opened	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-02-28	2025-02-23	3	1	https://snowtrace.io/tx/0x367abdaf16df3117ea62536f33e6b5cce2507d691f06d99e77ca291c98b6caef	BTC	$81075.00	ETH	$2130.02	0.0105	$851.29	0.39600003	0.398	0.038	$80.96	10.70%	780.77%
2025-04-17	2025-03-11	7	2	https://snowtrace.io/tx/0xac88c567537248143f1bd6036ab2344ad81c612c3009799b07c09c96a27cd44e	BTC	$84786.00	ETH	$1599.73	0.00615	$521.81	0.28765002	0.3245	0.063	$100.86	24.11%	237.85%
2025-04-21	2025-03-18	8	3	https://snowtrace.io/tx/0x8c592ef4c0b34e8c6e76c0258b236375fa08fd4a905882dcd1d34db58eac5bc5	BTC	$87269.00	ETH	$1629.20	0.00614	$535.74	0.2926	0.3385	0.0725	$118.04	27.24%	292.40%
2025-04-23	2025-03-21	9	4	https://snowtrace.io/tx/0x926068a55321d17924d95da61beb4ba8b1b260361cae4db8e07dd47b66445fe5	BTC	$93704.00	ETH	$1810.56	0.0059	$552.85	0.2783	0.308	0.055	$99.60	22.56%	249.49%
2025-04-28	2025-03-21	10	5	https://snowtrace.io/tx/0x7169e8e98cafd9f43067b7c31683e7179e31dbeb4a18cb7e081a39db1d0e9836	BTC	$95338.00	ETH	$1810.52	0.006	$572.03	0.27775002	0.3168	0.0643	$116.36	24.69%	237.16%
2025-04-30	2025-03-31	11	6	https://snowtrace.io/tx/0x45a61ab3747f763546618078387d3560fc4d0152c08df4759e3c8251817ecbb1	BTC	$95168.00	ETH	$1814.88	0.006	$571.01	0.29920003	0.316	0.044	$79.78	16.23%	197.44%
2025-07-18	2025-02-28	5	7	https://snowtrace.io/tx/0xae8b46994f4ca0c188f81d8fa640d4574fa5403febb27fc67bbd986703d810da	ETH	$3574.73	BTC	$117935.00	0.36793	$1315.23	0.010670001	0.0111	0.0014	$161.05	14.08%	36.70%
2025-07-18	2025-05-07	6;20;22;25;27	8	https://snowtrace.io/tx/0x1806244d06015d4907a27206a1b24abaa3b150e893474c5d2d1838be4ba41db7	ETH	$3574.73	BTC	$117935.00	1.1699	$4182.07	0.031492878	0.0352	0.0065	$771.65	22.85%	145.33%
2025-07-20	2025-02-19	2;4	9	https://snowtrace.io/tx/0x3993d37f9f2f2207a2212349fffdbdf225587eb78508749412e62bb161f56013	ETH	$3736.78	BTC	$117982.00	0.76731	$2867.27	0.023435216	0.0244	0.0031	$361.55	14.38%	34.77%
2025-09-23	2025-05-09	1;30;32;34	10	https://snowtrace.io/tx/0x3993d37f9f2f2207a2212349fffdbdf225587eb78508749412e62bb161f56013	ETH	$4185.25	BTC	$112737.00	0.72475	$3033.24	0.025106575	0.02695	0.0088	$995.00	48.70%	167.68%
2025-12-26	2025-09-23	38	11	https://snowtrace.io/tx/0xde1f1c10cecc719755e3ffcb69b6318286712f83cc6435ab0608aee3128e4e4a	BTC	$88700.00	ETH	$2974.98	0.00446	$395.34	0.132	0.13312	0.0131	$39.03	10.93%	42.44%
2025-12-27	2025-09-24	40	12	https://snowtrace.io/tx/0xf5e12d942e061d5eca2e5c81cd8668ea685f9751135d092ce2c18e003d3af6c4	BTC	$87485.00	ETH	$2926.09	0.00443	$387.15	0.132	0.13221	0.0122	$35.73	10.16%	39.45%
2026-02-23	2025-08-10	29;33;35;36;42	13	https://snowtrace.io/tx/0x6cd1b54203120dd95e4c569dfe47d9f6e1562272d1531dac7c2ce995d32fe6c1	BTC	$63249.15	ETH	$1828.88	0.03551	$2246.02	1.21693	1.22387	0.1176	$215.01	10.63%	21.27%
2026-06-11	2025-07-20	28;31	14	https://snowtrace.io/tx/0xb8bfcd054b93dfbe32f494d95857a03d74aa876ed5c68d101ec57112a35f72a4	BTC	$62607.00	ETH	$1652.66	0.01698	$1062.75	0.61644	0.6439562	0.0835562	$138.09	14.91%	16.72%
2026-08-27	2026-04-03	43;44;45	15	https://snowtrace.io/tx/0x957fbc196cccebdc56cfbe756aff10b1fa68e6ef0520f6354974e48f47b7ba53	ETH	$2497.26	BTC	$79301.00	1.9389551	$4842.08	0.055077005	0.06063754	0.0105615035	$837.54	21.09%	52.73%

